,feature,importance,normalized_importance,cumulative_importance
120,IQ_DPS_10YR_ANN_CAGR,0.0,0.0,0.9999999999999999
121,IQ_VALUE_TRADED_LAST_WK,0.0,0.0,0.9999999999999999
122,IQ_VOL_LAST_WK,0.0,0.0,0.9999999999999999
123,IQ_VOL_LAST_MTH,0.0,0.0,0.9999999999999999
124,IQ_VOL_LAST_3MTH,0.0,0.0,0.9999999999999999
125,IQ_VOL_LAST_6MTH,0.0,0.0,0.9999999999999999
126,IQ_VOL_LAST_YR,0.0,0.0,0.9999999999999999
127,IQ_VALUE_TRADED_LAST_YR,0.0,0.0,0.9999999999999999
128,IQ_VALUE_TRADED_LAST_MTH,0.0,0.0,0.9999999999999999
129,IQ_VALUE_TRADED_LAST_3MTH,0.0,0.0,0.9999999999999999
130,IQ_VALUE_TRADED_LAST_6MTH,0.0,0.0,0.9999999999999999
131,IQ_CLASS_MARKETCAP,0.0,0.0,0.9999999999999999
132,IQ_RETURN_COMMON_EQUITY,0.0,0.0,0.9999999999999999
133,IQ_CLASS_SHARESOUTSTANDING,0.0,0.0,0.9999999999999999
134,IQ_ANNUALIZED_DIVIDEND,0.0,0.0,0.9999999999999999
